,itemname,tag
35837,Kbg Prawn Lampraise,Rice
36132,Wood-apple Juice,Fruit Juice
36174,Kola Kenda,Soup
36195,Red Rice Kiri Bath With Lunu Miris,Rice
36216,Avocado Juice with Ice Cream,Fruit Juice
36217,White Rice Kiribath With Lunu Miris,Rice
36236,Mango Juice with Ice Cream,Fast Food
36294,Egg Rice & Curry (Fried),Rice
36331,Milk Shake - Chocolate,Shakes
36352,Milk Shake - Vanilla,Shakes
36523,Chicken Submarine with Cheese,Submarine
36536,Spicy Tandoori Chicken Submarine with Cheese,Submarine
36549,Cheese Onion Sausage Submarine,Submarine
36638,Spicy Tandoori Chicken Submarine,Submarine
36651,Cheese Onion & Sausage Submarine,Submarine
36655,Cheese Onion & Egg Submarine,Submarine
36666,Cheese & Vegetable Submarine,Submarine
36755,Egg Fried Kottu,Kottu
36936,Kurakkan Roti with Katta Sambol,Roti
36940,Pol Sambol Rotti,Roti
36952,Pol Rotti with katta Sambol,Roti
36964,Egg & Seeni Sambol Roast Paan,Bread
36988,Plain Roast Pang & Chicken Curry,Bread
37383,Dhall Curry,Curry
37393,Pol Sambal,Condiments
37395,Kiri Hodi,Curry
37410,Fish Mirisata,Curry
37415,Pol Sambol Roti,Roti
37417,Pol Rotti,Roti
37421,Plain Roast Paan (3),Bread
37424,Egg & Seenisambol Roast Paan,Bread
37429,Pol Sambol Roast Paan,Bread
37434,Plain Roast Paan & Miris Malu,Bread
37439,Plain Roast Paan & Ambulthiyal,Bread
37452,Plain Roast Paan & Pork Curry,Bread
37459,Rotti with Black Pork Curry,Roti
37462,Rotti with Beef Curry,Roti
37470,Roti with Cuttlefish Curry,Roti
37473,White Rice With Fish Ambulthiyal,Rice
37492,White Rice with Vegetable,Rice
37495,White Rice with Boiled Egg,Rice
37517,Organic Red Rice with Black Pork Curry,Rice
37527,Organic Red Rice with Beef Curry,Rice
37529,Organic Red Rice with Chicken Curry,Rice
37540,Ceylon Special Pol Sambol Roti,Roti
37543,Ceylon Special Polos Roti,Roti
37546,Roti with Black Pork Curry,Roti
37549,Roti with Beef Curry,Roti
37552,Ceylon Special Seafood Fried Rice,Rice
37554,Ceylon Special Yellow Rice with Chicken Curry,Rice
37558,Ceylon Special Yellow Rice with Beef Curry,Rice
37562,Ceylon Special Yellow Rice with Fish Mirisata,Rice
37565,Ceylon Special Yellow Rice with Black Pork Curry,Rice
37568,Ceylon Special Yellow Rice With Fish Ambul Thiyal,Rice
37571,Ceylon Ceylon Special Yellow Rice with Prawns Curry,Rice
37574,Ceylon Special Chicken Fried Rice,Rice
37576,Ceylon Special Beef Fried Rice,Rice
37809,Karapincha Kenda,Soup
37817,Welpenela Kenda,Soup
37831,Heenbowitiya Kenda,Soup
37838,Hathawariya Kenda,Soup
37852,Gotu Kola Kenda,Soup
37864,Monarakudumbiya Kenda,Soup
37868,Chicken Bun - 2 Nos,Short eats
37882,Kowakka Kenda,Soup
37898,Niramulliya Kenda,Soup
37918,Polpala Kenda,Soup
37955,Spaghetti With Garlic Prawns and White Sause,Pasta
37969,Nugget Bun - 2 Nos,Short eats
37979,Fried  Fish Rice & Curry,Rice
38001,Crispy Mushroom Kottu,Kottu
38019,Mix kola Kenda (Today's Kola kenda Only),Soup
38047,Pani Saw Kenda,Soup
38069,Kiri Saw Kenda,Soup
38088,Mung Saw Kenda,Soup
38107,Kurakkan Kenda,Soup
38116,Spicy Mutton kottu,Kottu
38123,Kithul Piti Kenda,Soup
38146,Fish kottu,Kottu
38147,Sudulunu Kenda,Soup
38177,Kollu Kenda,Soup
38206,Kurakkan & Saw Mixed Kenda,Soup
38223,Kurakkan & Kolakanda mixed Kenda,Soup
38229,Roast Chicken & Cheese Kottu,Kottu
38250,Tandoori Chicken & Cheese Kottu,Kottu
38260,Prawns & Cheese Kottu,Kottu
38283,Crab & Cheese Kottu,Kottu
38305,Seafood Kottu with Cheese,Kottu
38382,Mixed (Prawn & Chicken) Mongolian Rice,Rice
38393,Dry fish ,Rice
38397,"Seafood (Fish, Prawns & Calamari) Mongolian Rice.",Rice
38412,Red - dry fish,Rice
38418,Vegetable Mongolian Noodles,Noodles
38438,Egg Mongolian Noodles,Noodles
38459,Chicken Mongolian Noodles,Noodles
38491,Mixed (Prawn & Chicken) Mongolian Noodles,Noodles
38502,"Seafood (Fish, Prawns,& Calamari) Mongolian Noodles",Noodles
38516,Spaghetti Carbonara With Parmesan Cheese,Pasta
38527,Spaghetti Bolognaise Chicken,Pasta
38536,Panne Pasta With Chicken Creamy Basil Sauce,Pasta
38607,Prawn Nasi goreng,Rice
38620,Fish Rolls 4 in a Box,Short eats
38670,Fish Bun 4 in a Box,Short eats
38691,Seeni Sambol Bun 4 in a Box,Short eats
38739,Fish Baked Pattie 4 in a Box,Short eats
38837,Caramel Pudding 4 in a Box,Desserts
38845,Chocolate Biscuit Pudding 4 in a Box,Desserts
38855,Watalappan 4 in a Box,Desserts
38861,Chocolate Fudge Cake 4 Piece in a Box,Cakes
38868,Ribbon Cake 4 Piece in a Box,Cakes
38879,Coffee Cake 4 pieces in a Box,Cakes
38885,Chocolate Swiss Roll L,Cakes
38901,Butter Cake L,Cakes
38908,Date Cake L,Cakes
38949,Rice & Curry Mutton,Rice
38952,Rice & Curry Crab,Rice
38955,Rice & Curry Prawn,Rice
38990,Parata Meal 1 Chicken,Roti
38994,Parata Meal 2 Chicken,Roti
38996,Paratha Meal 1 Fish,Roti
38997,Parata Meal 2 Fish,Roti
39006,Parata Meal 2 Mutton,Roti
39011,Parata Meal 1 Beef,Roti
39014,Parata Meal 2 Beef,Roti
39018,Vegetable Curry,Curry
39082,Chocolate Eclair 4 in a Box,Desserts
39444,Special Ghee Boondi(500g),Indian Sweets
39448,Special Ghee Jilebi(250g),Indian Sweets
39455,Milk Gulab Jamun 5 Pieces,Indian Sweets
39461,Ghee Laddu 3 Pieces,Indian Sweets
39470,Fresh Paal Kova(250g),Indian Sweets
39480,Beef Magic Burger,Burger
39490,Milk Kova 2 Pieces,Indian Sweets
39498,"Chicken Submarine(10"")",Submarine
39504,"Chicken Cheese Submarine(10"")",Submarine
39512,Almond Pahu Barfi 2 Pieces,Indian Sweets
39519,Chicken Cheese Burger,Burger
39521,Kova Sweets 2 Pieces,Indian Sweets
39537,Ghee Mysoor Pahu 2 Pieces,Indian Sweets
39555,Chicken Monster Burger,Burger
39570,7DS Crispy Chicken Burger,Burger
39571,Almond Keer 2 Pieces,Desserts
39582,Fruits Barfi 2 Pieces,Indian Sweets
39586,7Up 500ml,Soft Drinks
39589,Pista Barfi 2 Pieces,Indian Sweets
39598,Mirinda 500ml,Soft Drinks
39602,Ghee Chata(200g),Indian Sweets
39676,"BBQ Chicken Submarine(10"")",Submarine
39694,"BBQ Chicken Cheese Submarine(10"")",Submarine
39710,Red Boondi(500g),Indian Sweets
39713,"Chicken Submarine(12"")",Submarine
39733,"Chicken Cheese Submarine(12"")",Submarine
39739,Egg Rotis 2 Nos,Roti
39757,"BBQ Chicken Submarine(12"")",Submarine
39762,Dates(250g),Desserts
39764,Paratha 5 Nos,Roti
39773,Stir Fried Prawns Ginger & Garlic Sauce,Stir Fry
39779,"BBQ Chicken Cheese Submarine(12"")",Submarine
39780,Soan Papdi(Haldirams),Indian Sweets
39788,Cheese Roti 2 Nos,Roti
39800,"Beef Submarine(10"")",Submarine
39823,"Beef Cheese Submarine(10"")",Submarine
39831,Murthabu Roti 2 Nos,Roti
39841,"BBQ Beef Submarine(10"")",Submarine
39851,Ghee Paratha 2 Nos,Roti
39861,"BBQ Beef Cheese Submarine(10"")",Submarine
39878,Ghee Egg Paratha,Roti
39961,Roll Murukku(250g),Bites
39973,Seeni Murukku(250g),Bites
39985,Ranchips(1 Pack),Bites
40010,Banana Chips(100g),Bites
40029,Chicken Mixed Fried Rice (Basmati),Rice
40074,Wok Fried Cuttlefish With Celery & Black Bean Sauce,Stir Fry
40098,Mutton Babath,Curry
40105,Fish Mixed Fried Rice,Rice
40107,Beef Sukka,Curry
40122,Beef Bestube,Curry
40132,Chicken Mini Bun,Short eats
40136,Kumgpao Chicken with Cashew Nut,Stir Fry
40144,Crispy Chicken Mini Bun,Short eats
40146,Beef Babath,Curry
40160,Beef Lalawan,Curry
40188,Gan Kukula,Curry
40203,Dhal Curry 2 Portions,Curry
40214,Potato Curry 2 Portions,Curry
40224,Mixed Fried Rice (Basmati),Rice
40235,Onion Sambal,Salad
40239,Malfish Sambal,Salad
40244,Seeni Sambal,Short eats
40254,Chicken Sambal,Salad
40255,Nasi Mixed Rice (Basmati),Rice
40276,Fruits Salad,Desserts
40285,Nasi Seafood Rice (Basmati),Rice
40302,Double Cooked Spice Pork,Stir Fry
40329,Chicken Samosa 3 Pieces,Short eats
40343,Fish Rolls 3 Pieces,Short eats
40350,Drumsticks 2 Pieces,Bites
40352,Cheese Balls 3 Pieces,Bites
40354,Thai Seafood Rice,Rice
40363,Pakoda(250g),Bites
40364,Fish Biryani,Biriyani
40391,Chicken String Biryani,Biriyani
40404,Mapo Tofu,Stir Fry
40407,Beef String Biryani,Biriyani
40418,Vegetable  Fried Rice (samba),Rice
40426,Mutton String Biryani,Biriyani
40432,Egg Fried Rice (samba),Rice
40440,Fish String Biryani,Biriyani
40444,Chicken Fried Rice (samba),Rice
40460,Egg String Biryani,Biriyani
40462,Fish - Fried Rice,Rice
40475,Veg String Biryani,Biriyani
40477,Chicken Mixed Fried Rice (samba),Rice
40488,Chinese Vegetable Rice with Egg,Rice
40489,Fish Mixed - Fried Rice,Rice
40500,Seafood Fried Rice (samba),Rice
40512,Lychhe with Syrup,Desserts
40514,Mixed Fried Rice (samba),Rice
40530,Biryani (samba),Biriyani
40544,Nasi Goreng (samba),Rice
40565,Palandi Dolphin Kottu,Kottu
40578,Masala Dolphin Kottu,Kottu
40612,Chicken  Mixed Noodles,Noodles
40622,Fish Mixed Noodles,Noodles
40645,Masala Noodles,Noodles
40648,Samosas 2 Nos,Short eats
40650,Rolls 2 Nos,Short eats
40652,Chicken Rolls 2 Nos,Short eats
40653,Ulundu Vade 2 Nos,Street Food
40654,Parippu Vade 2 Nos,Street Food
40656,Beef Rotis 2 Nos,Roti
40658,Veg Rotis 2 Nos,Roti
40662,Thai Seafood Noodles,Noodles
40681,Masala Cheese Kottu,Kottu
40684,Palandi Masala Cheese Kottu,Kottu
40690,Beef Kottu,Rice
40708,Palandi Kottu,Kottu
40711,Masala Kottu,Kottu
40727,Masala Fried Rice,Rice
40747,Plain Rotti,Roti
40750,Paratha Rotti,Roti
40751,Egg Rotti,Short eats
40783,Gulab Jamun (10 Pcs),Indian Sweets
40789,Rich Wedding Cake (2 Pcs)🍒,Cakes
40792,Cashew Nut Fudge Brownie (2 Pcs) ,Desserts
40794,Choco Chip Brownie (2 Nos),Desserts
41073,Noodles With Egg,Noodles
41128,Pol Rotti - 2 Nos,Roti
41156,Paratha - 3 Nos,Roti
41280,Vegetable & Dry Fish Rice & Curry,Rice
41352,Egg Rice & Curry - Dinner,Rice
41370,Chicken Rice & Curry - Dinner,Rice
41388,Fish Rice & Curry - Dinner,Rice
41410,Veg & Dry Fish Rice & Curry - Dinner,Rice
41427,Fried Rice Special,Rice
41459,Naan Roti,Roti
41476,Parata Roti - 3 Nos,Roti
41491,Egg Roti - 2 Nos,Roti
42322,Carrot & Lemon Mixed Juice,Fruit Juice
42359,Chicken Puff ,Short eats
42362,Mini Chicken Pizza ( 4 per Pack ),Pizza
42367,Rose Milk,Shakes
42370,Butter Cake 450g,Cakes
42376,Plain Hot Dog Buns (Pack of 2),Bread
42381,Plain Burger Buns (Pack of 2),Bread
42385,Fresh Fruit Lassi,Shakes
42386,Tea Bun ,Bread
42391,Watermelon Lassi,Shakes
42395,Veg Samosa,Short eats
42396,Original Vanilla,Cakes
42398,Roast Paan Medium  (Pack of 4),Bread
42406,Choc Chip,Cakes
42418,Fruit Salad Cup,Desserts
42420,Mint Choc Chip,Cakes
42434,Doughnut - Chocolate Cream,Desserts
42438,Choco Addict,Cakes
42442,Herb Tomato Bruschetta,Bites
42450,Original Chocolate,Cakes
42456,White Choc,Cakes
42461,Smoked Salmon Caesar Salad,Salad
42462,Beef Cubes Pack (150 gms),Bites
42463,Plain Uthappam,Roti
42473,Coffee Burst,Desserts
42492,Nasi Goreng with Chicken Satay,Rice
42496,Cookies & Cream,Desserts
42498,Waffles with Chicken,Waffles
42505,Mocha,Cakes
42509,Onion  Oothappam,Roti
42519,Seafood Fried Rice with Fried Fish Fillet,Rice
42521,Strawberry Dream,Cakes
42522,Chicken Lollipop,Bites
42538,Rice & Curry Pork,Rice
42543,Milk Toffee Cupcake,Cakes
42547,Fish Chinese Roll ,Short eats
42559,S'mores Cupcake,Cakes
42562,Chocolate Eclair -  Medium (4 Per Pack),Desserts
42565,Garlic Rice with Hot Butter Cuttlefish,Rice
42566,Sudu Kiribath,Rice
42573,Signature Chocolate Cake,Cakes
42580,Chicken Pattie - Medium ,Short eats
42586,Milk Potato Curry (2),Curry
42588,Imbul Kiribath,Rice
42589,Garlic Mushroom,Stir Fry
42599,Coffee Burst Cake,Cakes
42606,Rava Masala,Dosa
42609,Watalappan Cup (70g),Desserts
42610,Mung Kiribath,Rice
42611,Pol Sambol (3),Condiments
42613,onion Sambol,Condiments
42619,Chicken Keema Paratha (2),Roti
42620,Spicy Fried Chicken,Bites
42622,Nelum kole Rice & Curry Fish,Rice
42627,Onion Sambol (2),Condiments
42633,Houmous with Peri Peri Sauce & Pita Bread,Condiments
42634,Watalappan Small (250g),Desserts
42640,Kiribath with Hathmaaluwa,Rice
42641,Chicken Mayonnaise Paratha,Roti
42642,Kochchi Chicken Waffles,Waffles
42643,Nelum Kole Rice & Curry Chicken,Rice
42644,Fried Chicken Wings,Bites
42650,Onion Rava Masala,Dosa
42652,Vanilla Roses Cake,Cakes
42656,Pot Hyderabad Biryani,Biriyani
42657,Watalappan Medium (500g),Desserts
42658,"Chicken Ham, Cheese & Potato Stuffed Waffles",Waffles
42660,Chicken Sausage Paratha (2),Roti
42666,Fried Chicken Popcorn,Bites
42672,Waffle Wrap,Waffles
42673,Double Choc Mousse Cake,Cakes
42674,(4) Peri Peri Chicken Wings,Bites
42678,Watalappan Large (1kg),Desserts
42679,Cheesy Garlic Bread,Bread
42681,Chicken Drumstick Paratha (2),Roti
42682,Grilled Chicken Breast Chinese Noodles,Noodles
42688,Spicy Syriana Shawarma,Shawarma
42689,Waffles With Strawberries & Cream,Waffles
42690,Ghee Masala,Curry
42692,Black Forest Gateau,Desserts
42693,Red-Velvet Cake,Cakes
42702,Onion Raitha,Condiments
42705,Chocolate Indulgence Cake,Cakes
42709,Fried Chicken Strips,Bites
42711,Paper Roast,Dosa
42712,Oreo Cookie Waffles N Oreo Cream,Waffles
42713,Three Bean Salad,Salad
42716,Oats & Banana Drink,Shakes
42717,(2) Chicken Rotti,Short eats
42721,Chicken Wings with Sweet Chili Sauce,Stir Fry
42723,Paper Masala,Dosa
42727,Samba Biriyani,Biriyani
42729,S'mores Cake,Cakes
42731,Double Chocolate Waffles,Waffles
42732,Portugese Salad,Salad
42735,Beef Keema Paratha (2),Roti
42737,(2) Vege Rotti,Short eats
42750,Kara Dosai,Dosa
42755,Beef Mayonnaise Paratha,Roti
42756,Cheesy Chicken Bubble Waffles,Waffles
42763,Vegetable Samba Rice & Curry,Rice
42774,Devilled Beef Paratha,Roti
42777,Vegetable Bun,Cakes
42778,Veggie Life Bubble Waffles,Waffles
42784,Waffles with Spicy Tuna,Waffles
42789,Beef Murthaba,Roti
42792,Hyderabad Chicken Dum Biriyani,Biriyani
42793,Spicy Masala Dosai,Dosa
42802,Mango & Banana Drink,Fruit Juice
42803,Oreo Crunch Bubble Waffles,Waffles
42804,Grilled Sirloin Steak Chinese Noodles,Noodles
42809,Cake Truffles (3pcs),Desserts
42824,Double Choc Mousse,Desserts
42827,Cheese Paneer Dosai,Dosa
42829,Vegetable Lamprais With Cashew,Cakes
42832,Char Grilled Chicken Biriyani,Biriyani
42834,Sausage Bubbles,Waffles
42839,Chocolate Biscuit Pudding,Cakes
42842,Egg Biriyani,Rice
42845,Chappathi Kuruma,Curry
42849,Grilled Prawns Chinese Noodles,Rice
42850,Strawberry Bubbles,Waffles
42851,Kolkata Mutton Biriyani,Biriyani
42856,Cheesecake Slice,Cakes
42858,Cream of Veggie Soup,Soup
42861,Chicken Pulao,Rice
42871,Cake Pops (2),Desserts
42873,Kerala Fish Biryani,Biriyani
42875,Peri Peri Chicken Burger,Burger
42876,Seafood Mix Murthaba Paratha,Roti
42879,Chicken & Carrot Soup With Toasted Almond,Soup
42880,Beef Pastry,Short eats
42885,Poori Masala,Roti
42887,Vegetable Puloa,Rice
42891,Cottage Cheese Cubes Mongolian Rice,Rice
42893,Spicy Prawn Biriyani,Biriyani
42896,Rosemary Chicken Salad,Salad
42900,Mixed Parota,Roti
42901,Coffee Cake 2Lb,Desserts
42905,Spicy Beef Biriyani,Biriyani
42908,Butter Finger Cookies,Desserts
42911,Chillie Parota,Roti
42914,Chicken Fried Rice,Biriyani
42918,Tuna Pattie ,Short eats
42925,Country Salad,Salad
42929,Chola Poori,Roti
42933,"Hot Sauce Glazed, Home-made Chicken Meatballs",Bites
42942,Grilled Chicken Breast Mongolian Rice,Rice
42944,Paneer Biriyani,Biriyani
42945,Double Chicken Burger,Burger
42947,Fried Popcorn Chicken,Bites
42948,Tandoori Chicken Submarine with Cheese,Submarine
42958,String Hopper Mutton Biriyani,Biriyani
42959,Spicy Potato Wedges,Fast Food
42960,Plain Basmathi,Rice
42962,Grilled Chicken Steak Mongolian Rice,Rice
42966,Mix Vege Paratha (2),Roti
42967,BBQ Hot Dog,Short eats
42969,Puff Pastry Sheets (24),Short eats
42977,Habibiz Special Combo Biriyani,Biriyani
42978,Rosemary Grilled Chicken Wrap,Wrap
42980,Grilled Chicken Sausages Mongolian Rice,Rice
42993,Chicken Bacon & Egg Sandwich,Salad
42994,French Fries (Thick),Fast Food
43000,Fried Chicken Lollipop Mongolian Rice,Rice
43002,Vegetable Puff,Cakes
43004,Egg Omelette Paratha (2),Roti
43006,Seeni Sambol Bun ,Short eats
43007,Nasi Goreng - Roast Chicken,Rice
43010,Fried Fish Submarine with Cheese,Submarine
43017,Beef Tenderlion Steak Mongolian Rice,Rice
43020,Double Cheese & Egg Paratha,Roti
43021,Ham & Cheese Sandwich with Chili Mayo,Sandwiches
43023,Hot Butter Cuttlefish Submarine with Cheese,Submarine
43024,Chicken Bun ,Short eats
43026,Mongolian Roasted Chicken Rice,Rice
43027,Waffles with Smoked Salmon,Waffles
43031,Vegetable Samosa,Cakes
43033,Banana & Orange Drink,Fruit Juice
43034,Fish & Egg Mix Rice,Rice
43035,Triple Decker Club Sandwich,Sandwiches
43038,Veg & Cheese Paratha,Roti
43039,Ice Coffee - 200ml ,Coffee
43042,Chicken Chilli Fry Submarine,Submarine
43043,"Pol Sambol, Chicken Sausages & Cheese Sandwich",Sandwiches
43044,Beef Sirloin Steak Mongolian Rice,Rice
43056,Egg Samba Rice & Curry,Rice
43057,Cheesy Mashed Potatoes,Condiments
43061,Smoked Chicken & Lettuce Sandwich,Sandwiches
43068,Chicken & Cheese Kotthu with Omelet,Kottu
43069,Bombay Paratha (3),Roti
43072,Peri Peri Chicken Pita wrap,Roti
43077,TLC Sandwich,Sandwiches
43084,Vegetable Nasigoreng,Rice
43085,Omelette Egg Rotti,Rice
43092,Spicy Cheese Kotthu with Omelet,Kottu
43095,Pineapple Fries,Bites
43097,Chicken Fried Rice - Special,Rice
43098,Cheese Patty (2),Short eats
43101,Ghee Paratha (2),Roti
43103,Hyderabadi Biriyani,Biriyani
43104,Vegetable Patty,Cakes
43112,Egg Mix Rice,Rice
43114,"Chicken curry, Pol Sambol & Cheese Roast Paan SW",Sandwiches
43117,Chapati (3),Roti
43118,Cheese Egg Rotti,Roti
43126,Beef Liver & Vegetable Broth Soup,Soup
43129,(4) Chicken Kebabs,Bites
43131,Seeni Sambol & Cheese Roast Paan SW,Sandwiches
43134,Bun Paratha (3),Roti
43135,Grilled Prawns Mongolian Rice,Rice
43141,Omelette Cheese Egg Rotti,Roti
43143,Schezuan Noodles,Noodles
43149,Egg & Chili Mayo Roast Paan SW,Sandwiches
43153,Spicy Fried Chicken Macaroni,Pasta
43154,Faluda Milk 200ml,Shakes
43157,Milk Paratha (2),Roti
43158,Vegetable Cutlet,Cakes
43162,String Hopper Biriyani,Biriyani
43166,Chicken Rice Combo for 2 for Rs.720/-,Rice
43167,Fried Rice Set Menu,Rice
43169,Chocolate Fudge Cake Slice ,Cakes
43173,"Creamy Chicken, Omelet & Cheese Macaroni",Pasta
43179,Chicken Samba Fried Rice,Rice
43186,String Hoppers Koththu - Veg,Kottu
43199,String Hoppers Koththu - Egg,Kottu
43206,Chocolate Paratha,Roti
43207,Spicy Chicken Burger With Chili Cheese Sauce & Kochchi Garnish,Burger
43218,Pol Roti Chicken Kottu with Pan Fried Chicken & Cauldron Gravy,Kottu
43220,Grilled Chicken Beast Kottu Roti,Kottu
43221,String Hoppers Koththu - Fish,Kottu
43222,Vegetable Roll,Cakes
43227,Apple & Banana Drink,Fruit Juice
43232,Pol Roti Veggie Koththu with Meatless Meat & Cauldron Gravy,Kottu
43235,Brown Kade Paan With Wholemeal Flour,Bread
43236,String Hoppers Koththu - Chicken,Kottu
43248,Pol Roti Seafood Koththu,Kottu
43252,String Hoppers Koththu - Devilled Chicken,Kottu
43255,Fried Chicken Kotthu,Kottu
43257,South Indian Thali,Rice
43260,String Hoppers Koththu - Roast Chicken,Kottu
43264,Malay Chicken Dum Biriyani,Biriyani
43266,"Pol Roti Burger with Grilled Tuna, Seeni Sambol & Cheese",Roti
43273,Fried Beef Kotthu,Kottu
43279,Chicken Masala Curry,Curry
43282,Chicken Nasi Goreng (Char Grilled or Tandoori),Rice
43284,Waffles with Egg & Pol Sambol,Waffles
43286,String Hoppers Koththu - Pork,Kottu
43291,Hyderabad Chicken Biriyani,Biriyani
43308,Asian Style Hot & Spicy Mixed Rice,Rice
43313,Traditional Sago Pudding,Desserts
43314,Chicken Parts Devilled,Stir Fry
43315,Kuruma Chicken Kotthu,Kottu
43323,Tropical Seafood Rice with Pineapple,Rice
43326,Dolphin Chicken Kotthu,Kottu
43329,Papaya Bowl,Fruit Juice
43334,Bull Eye Samba Rice & Curry,Rice
43341,Dolphin Beef Kotthu,Kottu
43344,Watermelon Bowl,Fruit Juice
43348,Double Beef Burger,Burger
43358,"Mixed Green Rice with Vegetables, Almond & Rasins",Rice
43359,Dolphin Veg Kotthu,Kottu
43363,Banana Salad,Salad
43366,Corriander Chicken,Curry
43369,Schezwan Chicken Rice,Rice
43371,Grilled Jumbo Prawns with Garlic Herb Butter,Shellfish
43373,Tuscan Chicken Rice with Grilled Vegetables,Rice
43374,Dolphin Egg Kotthu,Kottu
43385,Panneer Fried Rice,Rice
43386,Chicken Cubes Mongolian Rice Family Sawan (4 Packs),Rice
43389,Dolphin Mutton Kotthu,Kottu
43392,"Umbalakada, Pol Sambol & Egg Fried Rice",Rice
43396,Chicken Mee Goreng (Noodles) Set Menu,Noodles
43409,Dolphin Fish Kotthu,Kottu
43411,Be My Sunshine,Rice
43417,Chicken Mongolian Rice Set Menu,Rice
43421,Habibiz Special Rice,Rice
43425,Smoked Chicken Pasta with Karapincha,Pasta
43427,Chicken Biryani Family Sawan (4 Packs),Biriyani
43435,Veg Manchurian Dry,Curry
43441,Choco Cupcake,Desserts
43446,Chicken Meatball Spaghetti,Pasta
43459,Creamy Veggie Pasta,Pasta
43465,Cucumber juice,Fruit Juice
43472,Red Chili Seafood Pasta,Pasta
43476,Beef Cubes Kottu Roti Family Sawan (4 Packs),Kottu
43487,Chicken Ham & Cheese Pasta,Pasta
43498,Granny's Chocolate Cake Slice,Cakes
43505,Chicken Palandi Kotthu,Kottu
43507,Bhel Puri,Roti
43511,Blueberry Cheesecake Slice,Desserts
43515,Masala Cheese Kotthu,Kottu
43521,Tandoori or Char Grilled Chicken Noodles,Noodles
43525,Mixed Seafood Platter,Seafood
43530,Chocolate Cheesecake Slice,Desserts
43533,Pav Bhaji,Curry
43535,Butterscotch Slice,Desserts
43538,Omelette Samba Rice & Curry,Rice
43539,Pol sambola,Curry
43542,Walnut & Carrot Cake Slice,Cakes
43549,Paal Gova (2),Indian Sweets
43550,Chola Tikkiya,Curry
43551,Choco Pyramid Slice,Cakes
43565,Waffles with Strawberries & Cream,Waffles
43566,Sprat Rice & Curry,Curry
43567,Gooey Chocolate Brownie,Desserts
43569,Dahi Papdi,Short eats
43571,Tamarind Juice,Fruit Juice
43605,Egg & Mackerel Pastry,Short eats
43613,Fry Beef Kotthu,Kottu
43621,Avocado  Juice,Fruit Juice
43629,Fry Beef Cheese Kotthu,Kottu
43641,String Hopper Vegetable Kotthu,Kottu
43642,Prawns Rice & Curry,Curry
43653,Cream Cheese Cake,Cakes
43656,Beef Kottu,Roti
43660,Crispy Chick & Egg Roll,Short eats
43665,Cashew Nut Chocolate Brownie,Desserts
43668,Vegetables Noodles,Noodles
43671,Chicken Tikka (Boneless),Curry
43673,Veg Burger,Burger
43682,Panneer Noodles,Noodles
43684,String Hopper Chicken Kotthu,Kottu
43700,Chicken Mee Goreng,Noodles
43708,String Hopper Beef Kotthu,Kottu
43715,Beef Mee Goreng,Noodles
43718,Strawberry Cream Cheese Cake,Cakes
43732,Cuttlefish Rice & Curry,Curry
43733,String Hopper Mutton Kotthu,Kottu
43734,Seafood Mee Goreng,Noodles
43735,Chocolate Brownie Cheesecake,Cakes
43737,Ghee Mysore Paak (2),Indian Sweets
43743,Black Coffee,Coffee
43752,Beef Spaghetti Bolognese,Pasta
43760,Plain Kulcha,Roti
43761,Mochaccino,Coffee
43770,Habibiz Special Noodles,Noodles
43775,Egg Rotti with Roast Chicken,Roti
43781,Dhal Makhani,Curry
43790,Egg Rotti with Chicken Curry,Roti
43792,Double Choc Fudge Cake,Cakes
43793,Kiri Kopi - Sri Lankan Style Very Creamy & Sweet Milk Coffee Garnished With Pan Toasted Crushed Coffee,Coffee
43797,Fish Samba Rice & Curry,Rice
43803,Waffle with Ice Cream,Waffles
43806,Egg Rotti with Beef,Roti
43809,Egg Parata,Roti
43810,Salted Caramel Choc Cake,Cakes
43817,Egg Mayo Submarine,Submarine
43825,Egg Rotti with Mutton,Roti
43828,Beef Steak & Chicken Cubes Chinese Noodles,Noodles
43834,Classic Iced Latte,Coffee
43842,Mani Pittu Chicken Kottu,Kottu
43843,Egg Rotti with Chicken Masala,Roti
43845,Nutella & Coffee Blend,Coffee
43846,Tandoori Or Char Grilled Chicken Pasta,Pasta
43853,Cuttlefish Kottu Rice,Rice
43856,Egg Rotti with Chicken Palandi,Roti
43862,The Cauldron Blend,Coffee
43864,Cheese Pasta,Pasta
43867,Potato Masala,Curry
43869,Egg Rotti with Beef Masala,Roti
43873,Chinese Chicken Fried Rice,Rice
43888,Fudge That,Shakes
43893,Egg Rotti with Mutton Palandi,Roti
43895,Prawn Pasta,Pasta
43899,Crumb Fried Prawns Chinese Noodles,Noodles
43908,Chinese Prawn Fried Rice,Rice
43909,Spicy Devilled Chicken,Stir Fry
43911,Egg Rotti with Beef Palandi,Roti
43926,Minced Chicken Pasta,Pasta
43930,Very Bery Shake,Shakes
43931,Chicken Cheese Rotti,Short eats
43932,Belly Fruit Juice,Fruit Juice
43936,Minced Beef Pasta,Pasta
43940,Oreo Cookie Shake,Shakes
43943,Fish Kottu Rice,Rice
43944,Cheese & Mushroom Pasta,Pasta
43960,Kiwi Mojito,Fruit Juice
43963,Nutella Royale Waffle,Waffles
43965,Mutton Cheese Rotti,Short eats
43966,Habibiz Special Pasta,Pasta
43972,Original Roll Ice Cream,Ice Cream
